조사일,지역,이삭도열병,흰잎마름병,세균벼알마름병,깨씨무늬병,벼멸구,흰등멸구,혹명나방,먹노린재,잎도열병,잎집무늬마름병,줄무늬잎마름병,벼잎벌레,벼애잎굴파리,벼줄기굴파리,애멸구,끝동매미충,벼물바구미,멸강나방,이화명나방1화기,벼검은줄오갈병,오갈병,이삭누룩병,이화명나방2화기
2015.08.01,강진군,,,,0.0,0.0,0.11,0.06,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.01,고흥군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.01,곡성군,,,,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.01,광양시,,,,0.0,0.0,0.073,0.02,0.0,0.0,0.687,0.0,0.0,0.0,0.0,0.0,0.723,0.0,0.0,0.0,,,,
2015.08.01,구례군,,,,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,,,
2015.08.01,나주시,,,,0.0,0.0,0.0,0.002,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.01,담양군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.0,,,,
2015.08.01,무안군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.01,보성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.027,0.0,0.0,0.003,,,,
2015.08.01,순천시,,,,0.0,0.0,0.0,0.0,0.015,0.002,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.01,신안군,,,,0.0,0.273,0.683,0.0,0.0,0.0,0.778,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.082,,,,
2015.08.01,여수시,,,,0.0,0.0,0.0,0.0,0.0,0.01,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.01,영광군,,,,0.02,0.0,0.04,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.01,영암군,,,,0.0,0.0,0.0,0.2,0.4,0.01,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.01,완도군,,,,0.0,0.0,3.33,0.56,0.0,0.06,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.01,장성군,,,,0.0,0.59,0.0,0.59,0.0,0.03,1.32,0.0,0.0,0.59,0.0,0.0,0.59,0.38,0.0,0.0,,,,
2015.08.01,장흥군,,,,,,0.067,0.02,0.033,0.0,0.347,,,0.02,0.02,0.05,0.02,0.02,,,,,,
2015.08.01,진도군,,,,0.0,0.31,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,,,,
2015.08.01,함평군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.01,해남군,,,,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,,,,
2015.08.01,화순군,,,,0.0,0.0,0.87,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.16,강진군,,,,0.03,0.0,1.06,0.19,0.03,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,,,,
2015.08.16,고흥군,,,,0.0,0.0,0.023,0.01,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.16,곡성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.16,광양시,,,,0.0,0.0,0.147,0.0,0.0,0.0,0.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.16,구례군,,,,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.0,0.0,,,,
2015.08.16,나주시,,,,0.0,0.0,0.0,0.003,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.16,담양군,,,,0.005,0.0,0.017,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.16,무안군,,,,0.0,0.0,0.0,0.0,0.003,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.16,보성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.015,0.0,0.0,0.003,,,,
2015.08.16,순천시,,,,0.0,0.0,0.0,0.03,0.01,0.0,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,,,,
2015.08.16,신안군,,,,0.003,0.008,0.003,0.013,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.16,여수시,,,,0.0,0.0,0.0,0.42,0.0,0.04,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.16,영광군,,,,0.04,0.0,0.0,0.02,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.16,영암군,,,,0.0,0.0,0.0,0.1,0.14,,0.55,0.0,,,,,,0.0,0.0,0.0,,,,
2015.08.16,완도군,,,,0.0,0.0,0.0,0.0,0.0,,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015.08.16,장성군,,,,0.0,0.0,0.29,0.15,0.0,0.0,1.32,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,,,,
2015.08.16,장흥군,,,,0.02,,0.153,0.114,0.02,0.0,0.415,,,,,0.05,,,,,,,,
2015.08.16,진도군,,,,2.5,0.06,0.63,0.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
